Gliese2 index,B-V color,absolute magnitude
GL586.0B,0.90,6.60
GL586.0C,1.84,14.30
GL587.0,0.78,5.70
GL591.0,0.95,6.28
GL594.0,0.41,3.40
GL596.1A,0.68,4.20
GL596.2,1.17,1.10
GL598.0,0.60,4.30
GL599.0A,0.72,5.34
GL599.0B,0.30,12.10
GL600.0,1.40,8.10
GL601.0,0.29,2.40
GL602.0,0.57,3.35
GL603.0,0.48,3.40
GL604.0,1.12,7.10
GL604.1,0.75,4.00
GL606.1A,0.80,5.90
GL606.2,0.60,4.10
GL608.0,1.28,8.00
GL609.1,0.52,2.30
GL609.2,0.77,5.70
GL610.0,0.97,6.40
GL611.0,0.73,6.18
GL611.1,0.73,5.50
GL612.0,0.96,6.90
GL612.1,1.24,8.40
GL613.0,0.85,6.30
GL614.0,0.87,5.70
GL615.0,0.82,6.64
GL615.2A,0.50,4.00
GL616.0,0.65,4.42
GL616.2,1.46,8.90
GL617.0A,1.41,8.37
GL617.0B,1.50,10.47
GL618.1,1.44,9.10
GL619.0,1.30,8.10
GL620.1,0.64,4.40
GL621.0,0.95,6.80
GL623.0,1.48,10.97
GL624.0,0.55,4.70
GL624.1A,0.91,1.00
GL626.0,1.22,7.70
GL626.1,0.91,2.70
GL626.2,0.18,12.60
GL628.0,1.60,12.10
GL629.0,0.87,6.06
GL629.2A,0.75,6.40
GL630.0,1.40,9.00
GL630.1A,1.60,12.00
GL630.1B,0.49,14.10
GL631.0,0.81,5.56
GL632.0,0.61,5.00
GL632.1,1.20,7.80
GL634.1,0.64,5.10
GL635.0A,0.64,2.97
GL635.0B,0.75,5.57
GL636.0,0.92,1.80
GL637.1,0.77,5.80
GL638.0,1.37,8.19
GL638.1,0.91,6.10
GL639.0,0.82,6.70
GL639.1,1.16,1.10
GL640.0,1.02,7.10
GL641.0,0.75,5.60
GL643.0,1.70,12.73
GL644.0C,2.05,17.69
GL648.0,0.48,3.70
GL649.0,1.50,9.60
GL649.1C,1.00,6.70
GL650.0,0.56,6.00
GL651.0,0.73,5.73
GL652.0,0.84,5.30
GL653.0,1.16,7.53
GL654.0,1.43,9.87
GL654.1,0.58,4.30
GL654.3,1.06,7.00
GL656.0,0.89,6.30
GL657.0,0.40,2.10
GL658.0,0.87,6.00
GL659.0A,1.16,7.30
GL659.0B,1.26,7.80
GL664.0,1.16,7.66
GL665.0A,0.60,4.20
GL667.1,0.60,4.90
GL668.1,0.85,5.90
GL669.0A,1.55,11.25
GL669.0B,1.58,12.81
GL672.0,0.62,4.71
GL673.0,1.36,8.15
GL673.1,0.28,2.60
GL674.0,1.53,11.03
GL675.0,0.76,5.81
GL678.1A,1.47,9.36
GL679.0,0.64,5.00
GL681.0,0.15,0.96
GL683.0,0.20,3.10
GL683.1,0.65,5.40
GL684.0A,0.56,4.46
GL684.0B,1.10,7.19
GL686.0,1.53,10.14
GL686.1A,1.35,8.50
GL686.1B,1.37,8.70
GL686.2,0.40,3.10
GL687.0,1.50,10.79
GL688.0,0.96,6.06
GL689.0,1.10,7.10
GL690.0A,1.10,7.70
GL691.0,0.70,4.90
GL692.0,0.47,3.60
GL692.1,0.77,5.80
GL694.0,1.53,10.55
GL694.1A,0.43,3.00
GL694.1B,0.52,4.20
GL695.0A,0.75,3.89
GL695.1,0.71,5.70
GL697.0,0.95,6.80
GL697.1,1.46,8.80
GL698.0,1.18,7.60
GL699.0,1.74,13.25
GL699.1,0.33,13.00
GL699.2,0.39,4.10
GL700.0A,0.63,3.30
GL700.2,0.80,5.70
GL701.0,1.52,10.08
GL702.1,0.62,4.80
GL702.2,0.62,4.90
GL703.0,0.66,8.00
GL705.0,1.32,6.90
GL705.1,0.58,4.10
GL706.0,0.87,6.24
GL707.0,1.32,7.71
GL708.1,0.40,3.40
GL708.3,1.62,11.60
GL708.4,0.65,4.70
GL710.1,1.38,0.90
GL711.0,0.94,1.80
GL713.0,0.49,4.13
GL713.1,1.04,1.00
GL715.0,1.10,6.70
GL716.0,0.84,6.20
GL717.0,1.28,8.40
GL718.0,1.12,7.90
GL720.0A,1.42,9.40
GL720.1,0.98,6.30
GL722.0,0.66,5.00
GL722.1,0.82,6.20
GL724.1,0.69,5.80
GL724.2,0.60,4.70
GL725.0A,1.54,11.15
GL725.0B,1.59,11.94
GL725.2,0.46,2.80
GL725.3,0.65,5.50
GL726.0,1.28,8.00
GL727.0,1.08,6.83
GL728.0,1.29,8.13
GL730.0,1.49,9.83
GL731.0,1.57,9.59
GL735.0,1.75,9.90
GL736.0,0.90,6.50
GL740.0,1.45,8.87
GL742.0,0.05,12.75
GL743.0,0.82,7.30
GL743.2,1.03,6.60
GL744.0,0.72,4.40
GL745.0A,1.57,11.15
GL745.0B,1.57,11.14
GL746.0,0.71,4.90
GL747.2,1.25,7.90
GL747.3,1.31,8.00
GL748.1,0.31,3.20
GL749.0,0.54,4.30
GL752.0A,1.50,10.31
GL752.0B,2.12,18.57
GL753.0,1.06,7.30
GL754.1A,0.02,12.44
GL754.1B,1.31,12.83
GL754.2,0.67,4.80
GL755.0,0.63,4.80
GL755.1,0.06,12.50
GL756.1,1.04,6.90
GL758.0,0.81,5.14
GL759.0,0.78,4.00
GL760.0,0.32,2.60
GL761.1,0.72,5.30
GL761.2,1.42,8.80
GL762.1,0.87,5.50
GL762.2,0.70,5.20
GL763.0,1.39,8.82
GL764.0,0.80,5.92
GL764.2,0.50,3.70
GL765.0A,0.39,3.20
GL765.1A,0.64,4.30
GL765.1B,0.66,4.60
GL765.2,0.88,6.30
GL765.3,0.55,4.50
GL767.0A,1.48,9.72
GL767.1A,0.46,3.35
GL767.1B,1.04,6.92
GL768.0,0.22,2.24
